ASX Code,Company Name,Item,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
A1M,AIC Mines Limited,Annual Ratio Analysis - Year End Share Price ($),0.04,0.05,0.08,0.03,0.03,0.05,1.38,0.29,0.22,0.29,2.01,1.09,0.21,0.32,0.14,0.12,1.22,1.10,1.02,0.29,0.40,0.53, 
A200,BetaShares Australia 200 ETF,Annual Ratio Analysis - Year End Share Price ($), , , , , , , , , , , , , , , , , , ,103.39,111.85,99.30,123.91, 
A2B,A2B Australia Limited,Annual Ratio Analysis - Year End Share Price ($),2.12,3.68,2.72,2.95,3.44,4.50,6.36,12.41,8.20,5.16,5.14,5.15,5.00,4.03,4.04,3.66,3.19,2.53,2.40,1.76,0.81,1.26,1.10
A2M,The a2 Milk Company Limited,Annual Ratio Analysis - Year End Share Price ($), , , , , , , , , , , , , , , ,0.64,1.75,3.76,10.52,13.85,18.66,6.00,4.39
A3D,Aurora Labs Limited,Annual Ratio Analysis - Year End Share Price ($), , , , , , , , , , , , , , , ,--, ,1.07,0.49,0.32,0.06,0.07,0.04
A40,Alita Resources Limited,Annual Ratio Analysis - Year End Share Price ($), , , , , , , , , , , , , , , , , , ,--, , , , 
A4N,Alpha HPA Limited,Annual Ratio Analysis - Year End Share Price ($), , , , , , , , ,0.10,0.02,0.18,0.20,0.04,0.01,0.03,0.01,0.01,0.02,0.10,0.12,0.17,0.56,0.41
A8G,Australasian Metals Limited,Annual Ratio Analysis - Year End Share Price ($), , , , , , , , , , , , , , , , , , , , ,--,0.14, 
AAA,BetaShares Australian High Interest Cash ETF,Annual Ratio Analysis - Year End Share Price ($), , , , , , , , , , , , ,50.24, , ,50.18,50.17,50.17,50.15,50.14,50.10,50.09, 
AAB,Absolute Return Fund (The),Annual Ratio Analysis - Year End Share Price ($), , , ,0.85,0.89, , , , , , , , , , , , , , , , , , 
AAC,Australian Agricultural Company Limited,Annual Ratio Analysis - Year End Share Price ($),--,--,0.67,1.08,1.61,1.56,1.85,3.20,1.88,1.50,1.43,1.33,1.17,1.29,1.25,1.60,1.30,1.66,1.19,1.01,1.09,1.20,1.63
AAG,Aragon Resources Limited,Annual Ratio Analysis - Year End Share Price ($), , , , , , , , ,0.27,0.10,0.19, , , , , , , , , , , , 
AAH,Arana Therapeutics Limited,Annual Ratio Analysis - Year End Share Price ($),0.71,2.31,2.23,1.81,1.55,1.38,1.31,1.24,0.82, , , , , , , , , , , , , , 
AAI,Alcoa Inc.,Annual Ratio Analysis - Year End Share Price ($),57.00,64.54,67.00,51.00,39.45,43.00,43.00,49.50,46.00,44.89,14.50,11.00,7.95,10.70,20.20,12.10, , , , , , , 
AAJ,Aruma Resources Limited,Annual Ratio Analysis - Year End Share Price ($), , , , , , , , , , ,--,0.09,0.07,0.03,0.04,0.01,0.01,0.01,0.01,0.00,0.01,0.06, 
AAK,Australia China Holdings Limited,Annual Ratio Analysis - Year End Share Price ($),0.10,0.09,0.08,0.02,0.03,0.03,0.02,0.03,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00, , , , , , 
AAN,Alinta Limited,Annual Ratio Analysis - Year End Share Price ($), , , , , , ,11.76, , , , , , , , , , , , , , , , 
AAP,Australian Agricultural Projects Limited,Annual Ratio Analysis - Year End Share Price ($), , , , ,0.42,0.34,0.42,0.17,0.03,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.03,0.03,0.03,0.01,0.01,0.02, 
AAP1,AAPT Limited ,Annual Ratio Analysis - Year End Share Price ($),5.48, , , , , , , , , , , , , , , , , , , , , , 
AAR,Astral Resources NL,Annual Ratio Analysis - Year End Share Price ($),0.02,0.02,0.03,0.02,0.02,0.02,0.03,0.09,0.04,0.03,0.04,0.01,0.01,0.00,0.01,0.01,0.01,0.04,0.09,0.06,0.14,0.09, 
AAS,Asian Pacific Limited,Annual Ratio Analysis - Year End Share Price ($),--,0.36,0.74,0.45,0.42,0.48,0.15,0.14, , , , , , , , , , , , , , , 
AASF,Airlie Australian Share Fund (Managed Fund),Annual Ratio Analysis - Year End Share Price ($), , , , , , , , , , , , , , , , , , , , , ,3.40,3.05
AAT,AAT Corporation Limited,Annual Ratio Analysis - Year End Share Price ($),1.74,0.60,0.20,0.20,0.26,0.17,0.09,0.09,0.03,0.02, , ,0.01,0.01,0.01,0.01, , , , , , , 
AAU,Antilles Gold Limited,Annual Ratio Analysis - Year End Share Price ($),0.14,0.15,0.15,0.15,0.15,0.15,0.10,0.18,0.09,0.04,0.04,0.14,0.17,0.07,0.06,0.04,0.02,0.01,0.01,0.01,0.06,0.08, 
AAU1,Adcorp Australia Limited,Annual Ratio Analysis - Year End Share Price ($),1.64,0.90,1.00,0.90,1.10,0.66,0.49,0.33,0.36,0.23,0.15,0.14,0.17,0.07,0.06,0.04,0.02,0.01,0.01,0.01, , , 
AAX,Ausenco Limited,Annual Ratio Analysis - Year End Share Price ($), , , , , ,--,3.48,15.22,2.19,4.56,3.08,2.47,3.19,0.63,0.42,0.22, , , , , , , 
AB1,Abarta Resources Limited,Annual Ratio Analysis - Year End Share Price ($), , , , , , , ,0.20,0.18,0.06,0.08,0.13,0.07,0.01,0.03,0.15,0.07,0.02,0.10,0.18, , , 
AB11,Animoca Brands Corporation Limited,Annual Ratio Analysis - Year End Share Price ($), , , , , , , ,0.20,0.18,0.06,0.08,0.13,0.07,0.01,0.01,0.15,0.07,0.02,0.10,0.18, , , 
ABA,Auswide Bank Ltd,Annual Ratio Analysis - Year End Share Price ($),3.25,3.92,5.72,6.55,6.58,7.24,10.40,12.05,9.50,6.90,10.20,8.50,5.81,5.25,5.50,5.05,5.08,5.14,5.63,5.13,4.84,6.49,6.09
ABB,Aussie Broadband Limited,Annual Ratio Analysis - Year End Share Price ($), ,--,2.75,4.10,7.83,6.80,6.70,7.75,7.91, , , , , , , , , , , ,--,2.95,3.31
ABB1,ABB Grain Limited,Annual Ratio Analysis - Year End Share Price ($), ,--,2.75,4.10,7.83,6.80,6.70,7.75,7.91, , , , , , , , , , , , , , 
ABC,ADBRI Limited,Annual Ratio Analysis - Year End Share Price ($),0.40,0.75,1.17,1.50,1.70,2.10,2.82,3.48,2.10,2.75,3.30,2.89,3.12,3.67,3.57,4.75,5.43,6.52,4.27,3.46,3.35,2.82, 
ABE,Australian Bond Exchange Holdings Limited,Annual Ratio Analysis - Year End Share Price ($), , , , , , , , , , , , , , , , , , , , , ,--,0.23
ABF,Ausmani Limited,Annual Ratio Analysis - Year End Share Price ($),0.31,0.30,0.30,0.33,0.15,0.05,0.02,0.35,0.05,0.20,0.05,0.04,0.04,0.04,0.04,0.04, , , , , , , 
ABG,Abigroup Limited,Annual Ratio Analysis - Year End Share Price ($),1.72,2.03,2.16,2.77, , , , , , , , , , , , , , , , , , , 
ABL,Abilene Oil and Gas Limited,Annual Ratio Analysis - Year End Share Price ($),0.15,0.07,0.07,0.05,0.07,0.03,0.12,0.17,0.49,0.12,0.05,0.03,0.02,0.01,0.00,0.03,0.01,0.01,0.01,0.00, , , 
ABP,Abacus Property Group,Annual Ratio Analysis - Year End Share Price ($), , ,--,1.22,1.17,1.36,1.57,1.98,1.15,0.37,0.41,2.31,2.04,2.27,2.50,2.92,3.15,3.24,3.77,4.10,2.68,3.15,2.57
ABR,American Pacific Borates Limited,Annual Ratio Analysis - Year End Share Price ($), , , , , , , , , , , , , , , , ,--, ,0.29,0.20,0.50,1.14, 
ABS,A.B.C. Learning Centres Limited,Annual Ratio Analysis - Year End Share Price ($),--,3.30,13.21,3.10,3.70,5.58,6.40,6.92, , , , , , , , , , , , , , , 
ABT,Abundant Produce Limited,Annual Ratio Analysis - Year End Share Price ($), , , , , , , , , , , , , , , ,--,0.94,0.49,0.25,0.07, , , 
ABV,Advanced Braking Technology Ltd,Annual Ratio Analysis - Year End Share Price ($), ,--,0.15,0.15,0.13,0.13,0.05,0.05,0.02,0.01,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.00,0.02,0.02,0.04,0.03
ABW,Aurora Absolute Return Fund,Annual Ratio Analysis - Year End Share Price ($), , , , , , , ,11.60,8.45,5.98,1.04,1.10,1.08,1.05,1.02,0.95,0.83,0.40,0.38,0.19,0.19, , 
ABX,ABx Group Limited,Annual Ratio Analysis - Year End Share Price ($), , , , , , , , ,--,0.37,0.69,0.35,0.28,0.22,0.30,0.20,0.17,0.12,0.10,0.14,0.09,0.10, 
ABX2,Abelle Limited,Annual Ratio Analysis - Year End Share Price ($), ,--,0.50,1.10, , , , , , , , , , , , , , , , , , , 
ABY,Adore Beauty Group Limited,Annual Ratio Analysis - Year End Share Price ($), , , , , ,--,--,2.24,1.88,0.14,1.10,1.48,0.71,0.43,0.29,0.18,0.20, , , ,--,4.28,1.05
ABY1,Aditya Birla Minerals Limited,Annual Ratio Analysis - Year End Share Price ($), , , , , ,--,--,2.24,1.88,0.14,1.10,1.48,0.71,0.43,0.29,0.18,0.20, , , , , , 
AC8,AusCann Group Holdings Ltd,Annual Ratio Analysis - Year End Share Price ($),0.61,0.46,0.70,0.50,0.55,0.32,0.15,0.15,0.09,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.01,0.42,1.26,0.34,0.14,0.10, 
ACB,A-Cap Energy Limited,Annual Ratio Analysis - Year End Share Price ($), , , , , , ,0.26,1.80,0.65,0.42,0.31,0.19,0.12,0.05,0.04,0.03,0.04,0.05,0.05,0.03,0.01,0.06, 
ACDC,ETFS Battery Tech & Lithium ETF,Annual Ratio Analysis - Year End Share Price ($), , , , , , , , , , , , , , , , , , , ,46.78,53.00,90.23, 
ACE,Acusensus Limited,Annual Ratio Analysis - Year End Share Price ($),0.31,0.23,0.06,0.04,0.04,0.14,0.09,0.20,0.18,0.04,0.04,0.02,0.02,0.02,0.02,0.02, , , , , , , 
ACF,Acrow Formwork and Construction Services Limited,Annual Ratio Analysis - Year End Share Price ($), , , , , , , , ,0.34,0.15,0.28,0.58,0.20,0.01,0.01,0.01,0.01,0.01,0.29,0.30,0.32,0.38,0.51
ACL,Australian Clinical Labs Limited,Annual Ratio Analysis - Year End Share Price ($), , , ,--,0.61,0.53,1.07,0.86,0.30,0.35,0.52,0.61,0.45,0.32,0.56,0.03,0.01,0.01,0.01,0.01,--,3.40,4.59
ACN,Acer Energy Limited,Annual Ratio Analysis - Year End Share Price ($), , , ,--,0.96,0.59,0.23,0.28,0.88,0.23,0.06,0.14,0.12, , , , , , , , , , 
ACO,Australian Careers Network Limited,Annual Ratio Analysis - Year End Share Price ($), , , , , , , , , , , , , , ,--,1.76, , , , , , , 
ACP,Audalia Resources Limited,Annual Ratio Analysis - Year End Share Price ($), , , , , , , , , , ,--, ,0.21,0.25,0.12,0.23,0.07,0.02,0.02,0.01,0.01,0.03, 
ACQ,Acorn Capital Investment Fund Limited ,Annual Ratio Analysis - Year End Share Price ($), , , , , , , , , , , , , , ,0.87,0.70,0.90,0.92,1.15,1.02,0.90,1.48,1.08
ACR,Acrux Limited,Annual Ratio Analysis - Year End Share Price ($), , ,--,--,--,0.50,0.73,1.53,1.22,1.14,1.81,3.39,4.20,3.51,1.00,0.85,0.72,0.21,0.14,0.18,0.14,0.13,0.05
ACS,Accent Resources N.L.,Annual Ratio Analysis - Year End Share Price ($), , , , , ,--,0.13,0.14,0.40,0.15,0.14,0.36,0.27,0.23,0.20,0.14,0.08,0.03,0.01,0.01,0.01,0.05, 
ACU,Acumentis Group Limited,Annual Ratio Analysis - Year End Share Price ($),0.12,0.20,0.15,--,0.52,0.24,0.06,0.05,0.09,0.03,0.00,0.00,0.00,0.00,0.00,0.14,0.03,0.01,0.56,0.18,0.08,0.12,0.10
ACW,Actinogen Medical Limited,Annual Ratio Analysis - Year End Share Price ($), , , , , , , , ,0.06,0.10,0.03,0.03,0.03,0.02,0.01,0.07,0.07,0.06,0.05,0.01,0.02,0.13,0.05
ACX,Aconex Limited,Annual Ratio Analysis - Year End Share Price ($), , , , , , , , , , , , , , ,--,3.13,7.01,3.73, , , , , 
ACY,Australian Commercial Property Trust ,Annual Ratio Analysis - Year End Share Price ($),0.81,0.90, , , , , , , , , , , , , , , , , , , , , 
AD1,AD1 Holdings Limited,Annual Ratio Analysis - Year End Share Price ($), , , , , , , , , , , , , , , ,--,0.34,0.14,0.04,0.01,0.01,0.04,0.01
AD8,Audinate Group limited,Annual Ratio Analysis - Year End Share Price ($), , , , , , , , , , , , , , , , ,--,1.53,3.92,7.99,5.40,8.13,7.54
ADA,Adacel Technologies Limited,Annual Ratio Analysis - Year End Share Price ($),2.50,1.64,0.85,0.72,0.46,0.28,0.45,0.77,0.32,0.49,0.33,0.18,0.39,0.42,0.30,0.62,3.02,2.35,1.69,0.59,0.41,0.92,0.84
ADB,Adelaide Bank Limited,Annual Ratio Analysis - Year End Share Price ($),4.78,5.75,7.29,8.00,8.29,11.47,12.98,15.24, , , , , , , , , , , , , , , 
ADD,Adavale Resources Limited,Annual Ratio Analysis - Year End Share Price ($),0.09,0.04,0.03,0.00,0.01,0.00,0.02,0.07,0.06,0.02,0.03,0.03,0.01,0.00,0.00,0.02,0.01,0.01,0.01,0.01,0.01,0.09, 
ADE,Adelaide Energy Limited,Annual Ratio Analysis - Year End Share Price ($), , , , , , , ,0.14,0.10,0.12,0.09,0.12, , , , , , , , , , , 
ADEF,Apostle Dundas Global Equity Fund,Annual Ratio Analysis - Year End Share Price ($), , , , , , , , , , , , , , , , , , , , , ,4.58, 
ADG,Adtrans Group Limited,Annual Ratio Analysis - Year End Share Price ($),1.75,1.80,2.20,3.08,3.70,3.68,3.01,4.25,3.55,2.18,3.50, , , , , , , , , , , , 
ADH,Adairs Limited,Annual Ratio Analysis - Year End Share Price ($), , , , , , , , , , , , , , ,--,2.66,2.47,0.86,2.23,1.42,2.30,4.25,1.91
ADI2,Adelphi Energy Limited,Annual Ratio Analysis - Year End Share Price ($),0.28,0.05,0.03,0.03,0.04,0.24,0.29,0.55,0.36,0.07, , , , , , , , , , , , , 
ADN,Andromeda Metals Limited,Annual Ratio Analysis - Year End Share Price ($),0.07,0.07,0.12,0.14,0.22,0.31,0.38,0.54,0.16,0.10,0.14,0.10,0.05,0.10,0.04,0.02,0.02,0.01,0.01,0.01,0.05,0.15, 
ADO,AnteoTech Limited,Annual Ratio Analysis - Year End Share Price ($),0.29,0.58,0.16,0.08,0.05,0.02,0.20,0.08,0.04,0.01,0.05,0.07,0.07,0.06,0.19,0.08,0.04,0.02,0.01,0.01,0.02,0.26,0.07
ADP,AMP Diversified Property Trust,Annual Ratio Analysis - Year End Share Price ($),2.27,2.35,2.45,2.96, , , , , , , , , , , , , , , , , , , 
ADQ,ADG Global Supply Limited,Annual Ratio Analysis - Year End Share Price ($),0.18,0.06,0.07,0.08,0.07,0.06,0.03,0.01,0.28,0.07,0.06,0.07,0.06,0.02,0.01,0.01, , , , , , , 
ADR,Adherium Limited,Annual Ratio Analysis - Year End Share Price ($), , , , , , , , , , , , , , , ,--,0.50,0.14,0.12,0.03,0.02,0.02,0.01
ADS,Adslot Ltd,Annual Ratio Analysis - Year End Share Price ($),0.12,0.03,0.01,0.01,0.01,0.00,0.06,0.10,0.02,0.06,0.07,0.09,0.04,0.04,0.12,0.09,0.11,0.05,0.03,0.03,0.02,0.03,0.01
ADT,Adriatic Metals Plc,Annual Ratio Analysis - Year End Share Price ($), , , , , , , , , , , , , , , , , ,--,0.52,0.99,1.31,2.45, 
ADT1,Advent Limited,Annual Ratio Analysis - Year End Share Price ($),1.53,1.49,1.30,0.85,1.25,0.88,0.82,0.65, , , , , , , , , , , , , , , 
ADU,Adamus Resources Limited,Annual Ratio Analysis - Year End Share Price ($),--,0.15,0.20,0.36,0.79,0.42,0.72,0.55,0.43,0.39,0.51,0.56, , , , , , , , , , , 
ADV,Ardiden Limited,Annual Ratio Analysis - Year End Share Price ($), , , , , ,--,0.11,0.04,0.03,0.01,0.01,0.01,0.00,0.00,0.00,0.01,0.03,0.01,0.01,0.00,0.01,0.01, 
ADV1,Australian Development Capital Fund,Annual Ratio Analysis - Year End Share Price ($),0.03,--,0.06,0.06, , , , , , , , , , , , , , , , , , , 
ADX,ADX Energy Ltd,Annual Ratio Analysis - Year End Share Price ($),0.17,0.17,0.36,0.38,0.09,0.14,0.09,0.07,0.13,0.12,0.21,0.09,0.02,0.01,0.01,0.00,0.01,0.01,0.01,0.01,0.01,0.01, 
ADY,Admiralty Resources NL,Annual Ratio Analysis - Year End Share Price ($),0.03,0.04,0.06,0.03,0.03,0.12,0.09,0.28,0.22,0.02,0.01,0.05,0.04,0.02,0.01,0.02,0.01,0.00,0.01,0.01,0.01,0.02, 
ADZ,Adsteam Marine Limited,Annual Ratio Analysis - Year End Share Price ($),2.40,1.91,1.93,1.30,1.45,2.00,2.03, , , , , , , , , , , , , , , , 
AE1,Aerison Group Ltd,Annual Ratio Analysis - Year End Share Price ($), , , , , , , , , , , , , , , , , , , , ,--,0.20, 
AEB,Affinity Energy and Health Limited,Annual Ratio Analysis - Year End Share Price ($), , , , , , , , , , ,--,0.30,0.34,0.17,0.09,0.06,0.05,0.04,0.02,0.01, , , 
AEC,Ammtec Limited,Annual Ratio Analysis - Year End Share Price ($),0.84,0.77,0.73,1.14,1.45,2.35,3.60,4.14,3.35,2.10,3.51, , , , , , , , , , , , 
AED,AED Oil Limited,Annual Ratio Analysis - Year End Share Price ($), , , , , ,0.74,1.35,7.55,2.84,0.77,0.43,0.10,0.14,0.14,0.14,0.14, , , , , , , 
AEE,Aura Energy Limited,Annual Ratio Analysis - Year End Share Price ($), , , , , , ,0.14,0.42,0.23,0.12,0.12,0.19,0.13,0.07,0.02,0.02,0.02,0.02,0.02,0.01,0.00,0.00, 
AEF,Australian Ethical Investment Limited,Annual Ratio Analysis - Year End Share Price ($), ,--,--,11.30,13.00,17.20,28.50,48.00,34.00,22.00,23.20,19.10,17.58,19.50,35.45,58.80,81.11,94.60,135.00,1.77,6.66,8.44,4.66
AEG,Absolute Equity Performance Fund Limited,Annual Ratio Analysis - Year End Share Price ($), , , , , , , , , , , , , , , ,--,1.18,1.12,1.17,0.88,1.12,1.10,0.85
AEH,Aveo Healthcare Limited,Annual Ratio Analysis - Year End Share Price ($),0.57,0.36,0.27,0.27,0.48,0.55,0.85,1.47,1.55,1.16,0.80,1.60,2.25,2.26, , , , , , , , , 
AEH1,Aerosonde Holdings Limited,Annual Ratio Analysis - Year End Share Price ($),0.10,0.09, , , , , , , , , , , , , , , , , , , , , 
AEI,Aeris Environmental Ltd,Annual Ratio Analysis - Year End Share Price ($),--,0.16,0.28,0.21,1.41,0.63,0.52,0.48,0.20,0.16,0.06,0.19,0.16,0.20,0.09,0.44,0.44,0.28,0.14,0.31,0.53,0.15, 
AEJ,Redbank Energy Limited,Annual Ratio Analysis - Year End Share Price ($), , , , , , , ,3.46,0.64,0.08,0.05,4.00,4.40,9.00, , , , , , , , , 
AEK,Anatolia Energy Limited,Annual Ratio Analysis - Year End Share Price ($),--,0.12,0.05,0.03,0.03,0.02,0.00,0.01,0.02,0.00,0.00,0.10,0.07,0.03,0.08,0.08, , , , , , , 
AEN,Aeramentum Resources Limited,Annual Ratio Analysis - Year End Share Price ($),--,0.21,0.19,0.27,0.93,1.02, , , , , , , , , , , , , , , , , 
AEN1,Australian Energy Limited,Annual Ratio Analysis - Year End Share Price ($),--,0.21,0.19,0.27,0.93,1.02, , , , , , , , , , , , , , , , , 
AEO,Austereo Group Limited,Annual Ratio Analysis - Year End Share Price ($),--,2.10,1.73,1.45,1.45,1.73,1.70,1.95,1.53,1.41,1.67, , , , , , , , , , , , 
AER,Aeeris Ltd,Annual Ratio Analysis - Year End Share Price ($), , , , , , , , , , , , , , ,--,0.18,0.11,0.03,0.04,0.12,0.09,0.12,0.13
AES,Advanced Energy Systems Limited,Annual Ratio Analysis - Year End Share Price ($),--,0.45,0.25,0.15,0.06, , ,0.06,0.07,0.03,0.05,0.04,0.04,0.04, , , , , , , , , 
AET,Ausmelt Limited,Annual Ratio Analysis - Year End Share Price ($),1.05,2.65,1.16,0.73,0.42,0.28,0.59,0.99,1.35,0.32, , , , , , , , , , , , , 
AEV,Avenira Limited,Annual Ratio Analysis - Year End Share Price ($), , , , , , ,--,0.35,1.59,0.52,0.20,0.43,0.15,0.12,0.08,0.07,0.19,0.07,0.02,0.01,0.01,0.01, 
AEZ,APN European Retail Property Group,Annual Ratio Analysis - Year End Share Price ($), , , , , , ,1.11,1.22,0.26,0.05,0.03,0.01, , , , , , , , , , , 
AFA,ASF Group Limited,Annual Ratio Analysis - Year End Share Price ($),0.17,0.06,0.13,0.05,0.02,0.02,0.02,0.02,0.12,0.08,0.12,0.10,0.21,0.20,0.19,0.34,0.29,0.18,0.15,0.10,0.09,0.05, 
AFF,Australian Food & Fibre Limited,Annual Ratio Analysis - Year End Share Price ($),0.32,0.28,0.25,0.26, , , , , , , , , , , , , , , , , , , 
AFG,Australian Finance Group Ltd,Annual Ratio Analysis - Year End Share Price ($), , , , , , , , , , , , , , ,--,1.00,0.99,1.28,1.41,1.57,1.71,2.85,1.51
AFG1,Allco Finance Group Limited,Annual Ratio Analysis - Year End Share Price ($),--,1.13,1.63,3.07,4.00,5.86,12.35,10.64,0.40, , , , , , , , , , , , , , 
AFI,Australian Foundation Investment Company Limited,Annual Ratio Analysis - Year End Share Price ($),2.51,3.30,3.23,3.50,3.32,3.75,4.67,5.64,5.02,4.37,4.73,4.42,4.16,5.44,6.18,6.12,5.61,5.81,6.16,6.25,6.09,7.82,7.51
AFJ,Affinity Education Group Limited,Annual Ratio Analysis - Year End Share Price ($), , , , , , , , , , , , , ,--,1.22, , , , , , , , 
AFL,AF Legal Group Ltd,Annual Ratio Analysis - Year End Share Price ($), , , ,--,0.10,0.10,0.18,1.27,0.34,0.18,0.18,0.03,0.01,0.00,0.00,0.00,0.01,0.01,0.01,0.20,0.20,0.57,0.38
AFP,AFT Pharmaceuticals Limited,Annual Ratio Analysis - Year End Share Price ($), , , , , , , , , , , , , , , , ,2.50,2.44,2.10,1.98,3.99,4.40,3.32
AFQ,African Petroleum Corporation Limited,Annual Ratio Analysis - Year End Share Price ($), , , , , , , , ,0.23,0.18, , , , , , , , , , , , , 
AFT,AFT Corporation Limited,Annual Ratio Analysis - Year End Share Price ($),0.23,0.04,0.02,0.07,0.02,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, , , 
AFU,Australian Emerging Growth Fund (The),Annual Ratio Analysis - Year End Share Price ($),0.42,0.45, , , , , , , , , , , , , , , , , , , , , 
AFW,Applyflow Limited,Annual Ratio Analysis - Year End Share Price ($), , , , , , , , , , ,--,0.16,0.04,0.04,0.02,0.04,0.07,0.04,0.01,0.01,0.01,0.01,0.00
